co_id,ticker_full,name,board,commodities,listing_date,status,covers_listing,first_price_date,last_price_date,trading_days,milestones_filled,consolidated,split_factor,n_splits,div_total,vol_base,mcap_30jun2026,px_base,px_d7,px_d30,px_d90,px_d180,px_d365,px_d730,px_d1095,px_d1825,px_d2555,px_d3650,px_d5475,px_latest,ret_d7,ret_d30,ret_d90,ret_d180,ret_d365,ret_d730,ret_d1095,ret_d1825,ret_d2555,ret_d3650,ret_d5475,ret_latest
V-04511,ALDE.V,Aldebaran Resources Inc.,TSXV,Gold | Copper,2018-11-02,ok,True,2018-11-02,2026-08-25,1960.0,9.0,False,1.0,0.0,0.0,291980.0,485637525.08,0.592,0.53,0.5,0.67,0.5,0.33,0.355,0.65,0.81,3.8,,,3.36,-0.1047,-0.1554,0.1318,-0.1554,-0.4426,-0.4003,0.098,0.3682,5.4189,,,4.6757
V-03724,ALGR.V,Algo Grande Copper Corp.,TSXV,,2017-03-31,no price near listing,False,2017-05-05,2026-08-25,2335.0,8.0,True,0.0167,2.0,0.0,,22863462.84,,,32.4,20.7,15.6,8.7,4.5,1.8,0.72,0.09,,,0.64,,,,,,,,,,,,
V-03928,ALM.V,Alliance Mining Corp.,TSXV,Gold,2012-01-27,ok,True,2007-10-04,2026-08-25,4740.0,10.0,True,0.04,1.0,0.0,0.0,2844037.96,3.55,3.5,2.75,1.75,2.0,2.25,0.75,1.25,1.0,0.5,0.25,,0.31,-0.0141,-0.2254,-0.507,-0.4366,-0.3662,-0.7887,-0.6479,-0.7183,-0.8592,-0.9296,,-0.9127
FAI0002,AMM.V,Almaden Minerals Ltd.,TSXV,Gold | Silver,2025-08-13,ok,True,1996-08-13,2026-08-25,7546.0,5.0,False,1.0,0.0,0.0,50020.0,33653979.345,0.272,0.28,0.26,0.19,0.23,0.27,,,,,,,0.245,0.0294,-0.0441,-0.3015,-0.1544,-0.0074,,,,,,,-0.0993
V-04436,DEX.V,Almadex Minerals Ltd.,TSXV,Gold | Silver | Copper | Lead | Zinc,2018-05-25,ok,True,2018-05-28,2026-08-25,2070.0,9.0,False,1.0,0.0,0.0,54374.0,24524359.2,0.372,0.42,0.365,0.325,0.305,0.34,0.23,0.27,0.305,0.36,,,0.46,0.129,-0.0188,-0.1263,-0.1801,-0.086,-0.3817,-0.2742,-0.1801,-0.0323,,,0.2366
V-02776,AORO.V,Aloro Mining Corp.,TSXV,Gold,2008-03-17,ok,True,2008-03-25,2026-08-25,4623.0,11.0,True,0.05,2.0,0.0,372.0,865938.945,6.4,6.4,11.0,7.4,6.2,2.6,3.8,14.0,0.55,0.2,0.12,0.04,0.01,0.0,0.7188,0.1562,-0.0312,-0.5938,-0.4063,1.1875,-0.9141,-0.9688,-0.9812,-0.9938,-0.9984
V-04803,ALEX.V,Alpha Exploration Ltd.,TSXV,Gold,2021-11-01,ok,True,2021-11-08,2026-08-25,1204.0,7.0,False,1.0,0.0,0.0,0.0,61423616.67,0.65,0.65,0.65,0.8,0.8,0.52,0.67,0.74,,,,,0.49,0.0,0.0,0.2308,0.2308,-0.2,0.0308,0.1385,,,,,-0.2462
V-01105,AFM.V,Alphamin Resources Corp.,TSXV,,,no listing date,,1996-08-08,2026-08-25,7549.0,,,,,,,1918783973.71,,,,,,,,,,,,,1.51,,,,,,,,,,,,
V-02342,AVX.V,Altair Resources Inc.,TSXV,Gold | Silver,2007-03-15,no price near listing,False,2026-07-17,2026-08-19,23.0,0.0,False,1.0,0.0,0.0,,286333.12,,,,,,,,,,,,,0.01,,,,,,,,,,,,
V-02021,ALTA.V,Altamira Gold Corp.,TSXV,Gold,,no listing date,,1998-06-03,2026-08-25,7091.0,,,,,,,66710561.85,,,,,,,,,,,,,0.215,,,,,,,,,,,,
V-03720,APN.V,Altiplano Metals Inc.,TSXV,Gold | Copper | Iron,2011-02-02,no price near listing,False,2013-02-28,2026-08-24,3384.0,5.0,True,0.285,1.0,0.0,,3551236.88,,,,,,,,0.1404,0.1053,0.5,0.335,0.05,0.015,,,,,,,,,,,,
V-01024,ALT.V,Alturas Minerals Corp.,TSXV,Gold | Copper,2006-04-10,ok,True,2004-07-23,2026-08-24,5544.0,11.0,False,1.0,0.0,0.0,10000.0,2184482.145,0.74,0.65,0.59,0.48,0.5,0.48,0.25,0.08,0.14,0.05,0.01,0.03,0.02,-0.1216,-0.2027,-0.3514,-0.3243,-0.3514,-0.6622,-0.8919,-0.8108,-0.9324,-0.9865,-0.9595,-0.973
V-00093,AHR.V,Amarc Resources Ltd.,TSXV,Gold | Copper | Molybdenum,,no listing date,,1996-08-08,2026-08-25,7549.0,,,,,,,214700000.0,,,,,,,,,,,,,1.09,,,,,,,,,,,,
V-04726,AE.V,American Eagle Gold Corp.,TSXV,Gold | Copper,2021-05-03,ok,True,2021-05-03,2026-08-25,1334.0,8.0,False,1.0,0.0,0.0,142134.0,209021082.6,0.218,0.31,0.23,0.165,0.125,0.045,0.1,0.72,1.08,,,,1.26,0.422,0.055,-0.2431,-0.4266,-0.7936,-0.5413,2.3028,3.9541,,,,4.7798
V-01262,LI.V,American Lithium Corp.,TSXV,Lithium | Uranium,,no listing date,,2010-10-12,2026-08-25,3982.0,,,,,,,112492444.24,,,,,,,,,,,,,0.44,,,,,,,,,,,,
V-5104,TUNG.V,American Tungsten Corp,TSXV,Molybdenum | Tungsten,2026-05-29,ok,True,2026-05-29,2026-08-25,61.0,2.0,False,1.0,0.0,0.0,70280.0,129459648.48,2.264,1.99,1.92,,,,,,,,,,1.75,-0.121,-0.1519,,,,,,,,,,-0.227
V-02951,AMCO.V,Americore Resources Corp.,TSXV,Gold | Uranium,2011-04-18,ok,True,2009-01-13,2026-08-25,4421.0,11.0,True,0.0067,3.0,0.0,80.0,6572208.585,48.6,75.0001,57.0001,58.5001,60.0001,30.75,8.25,15.75,29.0,3.7,2.9,0.53,0.34,0.5432,0.1728,0.2037,0.2346,-0.3673,-0.8302,-0.6759,-0.4033,-0.9239,-0.9403,-0.9891,-0.993
V-00103,AMX.V,Amex Exploration Inc.,TSXV,Gold,,no listing date,,2005-07-22,2026-08-25,5294.0,,,,,,,674609560.8,,,,,,,,,,,,,4.64,,,,,,,,,,,,
V-5084,ANDC.V,Andina Copper Corporation,TSXV,Gold | Copper,2025-11-24,ok,True,2005-12-30,2026-08-25,5184.0,4.0,False,1.0,0.0,0.0,387143.0,318704234.8,0.462,0.51,0.56,0.9,1.26,,,,,,,,1.25,0.1039,0.2121,0.9481,1.7273,,,,,,,,1.7056
V-03758,AEC.V,Anfield Energy Inc.,TSXV,Uranium,2011-04-11,ok,True,2011-04-12,2026-08-25,3856.0,11.0,True,0.0013,2.0,0.0,165.0,109409856.0,234.0,225.0,217.5,187.5,90.0,120.0,90.0,44.25,6.75,21.0,9.0,7.22,6.73,-0.0385,-0.0705,-0.1987,-0.6154,-0.4872,-0.6154,-0.8109,-0.9712,-0.9103,-0.9615,-0.9691,-0.9712
V-00938,AWM.V,Angel Wing Metals Inc.,TSXV,Gold,,no listing date,,1996-07-31,2026-08-25,7553.0,,,,,,,3237977.85,,,,,,,,,,,,,0.035,,,,,,,,,,,,
V-03680,ANK.V,Angkor Resources Corp.,TSXV,Oil and Gas | Gold | Copper,2011-10-19,no price near listing,False,2012-01-03,2026-08-25,3676.0,8.0,False,1.0,0.0,0.0,,59777636.78,,,,0.38,0.43,0.3,0.32,0.34,0.405,0.165,0.085,,0.37,,,,,,,,,,,,
V-00932,ANOR.V,Anortech Inc.,TSXV,,,no listing date,,2007-10-25,2026-08-25,4726.0,,,,,,,23613529.94,,,,,,,,,,,,,0.085,,,,,,,,,,,,
V-04312,ANTL.V,Antler Gold Inc.,TSXV,Gold | Copper | Rare Earths,2016-11-14,ok,True,2016-09-12,2026-08-25,2498.0,9.0,False,1.0,0.0,0.0,96876.0,2724928.05,0.606,0.6,0.6,0.8,0.6,0.27,0.12,0.06,0.22,0.06,,,0.03,-0.0099,-0.0099,0.3201,-0.0099,-0.5545,-0.802,-0.901,-0.637,-0.901,,,-0.9505
V-01888,APX.V,Apex Resources Inc.,TSXV,Gold | Silver | Zinc,1989-06-15,no price near listing,False,1995-08-23,2026-08-25,7790.0,3.0,False,1.0,0.0,0.0,,3746874.33,,,,,,,,,,1.82,0.17,0.16,0.09,,,,,,,,,,,,
V-04585,APMI.V,Apogee Minerals Ltd.,TSXV,Gold | Uranium,2021-08-04,ok,True,2019-07-16,2026-08-25,1785.0,8.0,False,1.0,0.0,0.0,56000.0,9216600.12,0.117,0.105,0.105,0.11,0.105,0.105,0.06,0.045,0.14,,,,0.115,-0.1026,-0.1026,-0.0598,-0.1026,-0.1026,-0.4872,-0.6154,0.1966,,,,-0.0171
V-00100,APGO.V,Apollo Silver Corp.,TSXV,Silver,,no listing date,,2010-11-04,2026-08-25,3966.0,,,,,,,164275277.4,,,,,,,,,,,,,3.34,,,,,,,,,,,,
V-04067,ABR.V,Arbor Metals Corp.,TSXV,Lithium,2012-10-24,no price near listing,False,2013-03-06,2026-08-25,3381.0,7.0,True,0.5833,2.0,0.0,,12041788.32,,,,,0.1714,0.12,0.0514,0.0343,0.0857,0.0371,2.57,,0.12,,,,,,,,,,,,
V-00133,ACS.V,Archon Minerals Limited,TSXV,Diamond,,no listing date,,2012-08-16,2026-08-25,3519.0,,,,,,,3537089.27,,,,,,,,,,,,,0.07,,,,,,,,,,,,
V-00135,ADD.V,Arctic Star Exploration Corp.,TSXV,Diamond,,no listing date,,2002-02-19,2026-08-24,6156.0,,,,,,,2387103.7,,,,,,,,,,,,,0.01,,,,,,,,,,,,
V-02618,ADG.V,Arcus Development Group Inc.,TSXV,,2007-10-23,ok,True,2007-10-25,2026-08-24,4725.0,11.0,True,0.1,1.0,0.0,646.0,7427399.0,5.18,5.0,4.7,3.9,2.6,0.8,1.0,1.6,0.8,0.3,1.2,0.3,0.5,-0.0347,-0.0927,-0.2471,-0.4981,-0.8456,-0.8069,-0.6911,-0.8456,-0.9421,-0.7683,-0.9421,-0.9035
V-04012,AWX.V,ArcWest Exploration Inc.,TSXV,Gold | Copper,2013-07-31,no price near listing,False,2013-08-12,2026-08-24,3271.0,10.0,True,0.3333,1.0,0.0,,6263003.025,,0.195,0.195,0.15,0.255,0.195,0.12,0.15,0.105,0.135,0.09,,0.095,,,,,,,,,,,,
V-02136,AGAG.V,Argenta Silver Corp.,TSXV,Silver,,no listing date,,2000-11-27,2026-08-25,6504.0,,,,,,,127748500.88,,,,,,,,,,,,,0.56,,,,,,,,,,,,
V-00095,LIT.V,Argentina Lithium & Energy Corp.,TSXV,Lithium,,no listing date,,2003-12-04,2026-08-25,5704.0,,,,,,,11693217.95,,,,,,,,,,,,,0.1,,,,,,,,,,,,
V-5107,VLLC.V,Argentina Metals Corp.,TSXV,Copper,2026-06-16,ok,True,2026-06-16,2026-08-25,49.0,2.0,False,1.0,0.0,0.0,95710.0,22545603.045,0.228,0.22,0.4,,,,,,,,,,0.37,-0.0351,0.7544,,,,,,,,,,0.6228
V-02647,ASL.V,Argentum Silver Corp.,TSXV,Silver | Lead | Zinc,2011-02-22,no price near listing,False,2012-08-02,2026-08-24,3527.0,6.0,True,0.1,1.0,0.0,,4643868.87,,,,,,,0.8,0.25,0.02,0.19,0.195,0.195,0.085,,,,,,,,,,,,
V-02212,DAN.V,Arianne Phosphate Inc.,TSXV,,2009-07-03,ok,True,2007-10-25,2026-08-25,4726.0,11.0,False,1.0,0.0,0.0,17220.0,82109485.73,0.148,0.11,0.16,0.14,0.14,0.14,1.24,0.89,1.03,0.95,0.54,0.27,0.34,-0.2568,0.0811,-0.0541,-0.0541,-0.0541,7.3784,5.0135,5.9595,5.4189,2.6486,0.8243,1.2973
V-5060,AZEM.V,Arizona Eagle Mining Corp.,TSXV,Gold | Copper,2026-03-31,ok,True,2026-03-31,2026-08-25,102.0,3.0,False,1.0,0.0,0.0,65388.0,54015199.75,1.368,1.18,1.52,0.97,,,,,,,,,0.87,-0.1374,0.1111,-0.2909,,,,,,,,,-0.364
V-03888,AZS.V,Arizona Gold & Silver Inc.,TSXV,Gold | Silver,2016-11-21,no price near listing,False,2018-01-02,2026-08-25,2171.0,4.0,False,1.0,0.0,0.0,,82214908.2,,,,,,,0.075,0.12,0.21,0.44,,,0.86,,,,,,,,,,,,
V-04892,ARK.V,Arras Minerals Corp.,TSXV,Gold | Copper,2022-06-14,ok,True,2022-06-14,2026-08-25,1054.0,7.0,False,1.0,0.0,0.0,84834.0,228818488.36,0.996,0.95,0.45,0.405,0.45,0.285,0.26,0.9,,,,,1.55,-0.0462,-0.5482,-0.5934,-0.5482,-0.7139,-0.739,-0.0964,,,,,0.5562
V-04601,ARTG.V,Artemis Gold Inc.,TSXV,Gold | Silver,2019-10-02,ok,True,2019-10-02,2026-08-25,1731.0,8.0,False,1.0,0.0,0.05,235480.0,7273954873.59,1.2004,1.3083,1.1485,1.2983,1.1285,6.1021,5.383,4.4941,12.9531,,,,44.67,0.0899,-0.0432,0.0816,-0.0599,4.0834,3.4843,2.7438,9.7907,,,,36.2126
V-04518,RBZ.V,Arya Resources Ltd.,TSXV,Gold | Copper | Nickel,2022-12-20,ok,True,2018-11-26,2026-08-25,1944.0,7.0,False,1.0,0.0,0.0,4200.0,15116952.595,0.054,0.05,0.065,0.23,0.11,0.08,0.07,0.32,,,,,0.3,-0.0741,0.2037,3.2593,1.037,0.4815,0.2963,4.9259,,,,,4.5556
V-03940,ASE.V,Asante Gold Corporation,TSXV,Gold,2025-09-24,ok,True,2015-07-10,2026-08-25,2792.0,4.0,False,1.0,0.0,0.0,638160.0,723349874.4,2.357,2.23,2.14,1.75,1.11,,,,,,,,1.155,-0.0539,-0.0921,-0.2575,-0.5291,,,,,,,,-0.51
V-03038,ABZ.V,AsiaBaseMetals Inc.,TSXV,Zinc,2009-11-03,no price near listing,False,2012-08-02,2026-08-24,3527.0,5.0,True,0.1875,4.0,0.0,,4518258.39,,,,,,,,0.5867,0.1867,0.1333,0.295,0.085,0.09,,,,,,,,,,,,
V-03792,BAY.V,Aston Bay Holdings Ltd.,TSXV,Gold | Copper,2013-05-06,ok,True,2012-03-15,2026-08-25,3625.0,10.0,False,1.0,0.0,0.0,14000.0,12647481.75,0.18,0.15,0.15,0.14,0.18,0.21,0.13,0.385,0.17,0.065,0.035,,0.05,-0.1667,-0.1667,-0.2222,0.0,0.1667,-0.2778,1.1389,-0.0556,-0.6389,-0.8056,,-0.7222
V-04733,ASTR.V,Astra Exploration Inc.,TSXV,Gold | Silver,2022-01-26,ok,True,2022-01-27,2026-08-25,1149.0,7.0,False,1.0,0.0,0.0,57506.0,79712329.0,0.288,0.335,0.265,0.17,0.21,0.13,0.14,0.14,,,,,0.395,0.1632,-0.0799,-0.4097,-0.2708,-0.5486,-0.5139,-0.5139,,,,,0.3715
V-05002,SASK.V,Atha Energy Corp.,TSXV,Uranium,2024-03-04,ok,True,2023-04-11,2026-08-25,848.0,6.0,False,1.0,0.0,0.0,251345.0,347315338.26,0.934,0.91,0.82,0.75,0.61,0.43,0.89,,,,,,1.24,-0.0257,-0.1221,-0.197,-0.3469,-0.5396,-0.0471,,,,,,0.3276
V-03960,ATY.V,Atico Mining Corporation,TSXV,Gold | Silver | Copper | Zinc,2012-03-12,no price near listing,False,2012-08-02,2026-08-25,3528.0,7.0,False,1.0,0.0,0.0,,35363728.53,,,,,0.48,1.0,0.82,0.5,0.8,0.34,0.465,,0.23,,,,,,,,,,,,
V-04041,SALT.V,Atlas Salt Inc.,TSXV,,2012-08-17,no price near listing,False,2014-10-14,2026-08-25,2978.0,4.0,False,1.0,0.0,0.0,,191436052.5,,,,,,,,0.03,0.035,0.04,3.83,,1.7,,,,,,,,,,,,
V-01679,ATOM.V,Atomic Minerals Corporation,TSXV,Uranium,1981-09-24,no price near listing,False,1996-08-08,2026-08-25,7626.0,1.0,True,0.0,8.0,0.0,,3058765.57,,,,,,,,,,,,7919.9937,0.025,,,,,,,,,,,,
V-02881,AAN.V,Aton Resources Inc.,TSXV,Gold,2010-10-05,ok,True,2008-08-21,2026-08-25,4519.0,11.0,True,0.02,2.0,0.0,1052.0,73923559.54,6.6,8.5,6.5,17.5,9.0,3.0,3.25,0.75,0.9,0.4,0.31,0.265,0.5,0.2879,-0.0152,1.6515,0.3636,-0.5455,-0.5076,-0.8864,-0.8636,-0.9394,-0.953,-0.9598,-0.9242
V-04462,AUGC.V,AU Gold Corp.,TSXV,Gold,2020-12-24,ok,True,2020-12-29,2026-08-25,1420.0,8.0,False,1.0,0.0,0.0,31720.0,10537048.26,0.213,0.22,0.18,0.14,0.07,0.085,0.035,0.02,0.08,,,,0.22,0.0329,-0.1549,-0.3427,-0.6714,-0.6009,-0.8357,-0.9061,-0.6244,,,,0.0329
V-05014,AUM.V,AuMega Metals Ltd.,TSXV,Gold,2024-06-26,no price near listing,False,2024-07-08,2026-08-25,536.0,6.0,False,1.0,0.0,0.0,,30031348.025,,0.05,0.065,0.05,0.045,0.03,0.035,,,,,,0.04,,,,,,,,,,,,
V-01367,AUQ.V,AuQ Gold Mining Inc.,TSXV,Gold | Lithium,,no listing date,,2007-10-25,2026-08-25,4725.0,,,,,,,10217255.4,,,,,,,,,,,,,0.39,,,,,,,,,,,,
V-04112,ARU.V,Aurania Resources Ltd.,TSXV,Gold | Silver | Copper,2013-04-17,no price near listing,False,2018-07-10,2026-08-25,2040.0,2.0,False,1.0,0.0,0.0,,23977525.425,,,,,,,,,,2.18,0.4,,0.185,,,,,,,,,,,,
V-5093,AURA.V,Auranova Resources Inc.,TSXV,Gold,2026-03-17,ok,True,2026-03-17,2026-08-24,111.0,3.0,False,1.0,0.0,0.0,99040.0,19272320.5,0.515,0.4,0.46,0.275,,,,,,,,,0.235,-0.2233,-0.1068,-0.466,,,,,,,,,-0.5437
V-04110,RES.V,Auric Resources Corp.,TSXV,Gold,2024-02-27,ok,True,2013-03-25,2026-08-25,3368.0,6.0,False,1.0,0.0,0.0,1800.0,1576150.345,0.144,0.2,0.18,0.24,0.19,0.115,0.105,,,,,,0.04,0.3889,0.25,0.6667,0.3194,-0.2014,-0.2708,,,,,,-0.7222
V-03984,AUME.V,Auriginal Mining Corp.,TSXV,Gold | Silver | Copper,2017-04-03,ok,True,2012-04-19,2026-08-25,3601.0,9.0,True,0.5,1.0,0.0,40035.0,13233236.85,0.275,0.165,0.17,0.155,0.16,0.41,0.195,0.1,0.12,0.015,,,0.05,-0.4,-0.3818,-0.4364,-0.4182,0.4909,-0.2909,-0.6364,-0.5636,-0.9455,,,-0.8182
V-04678,AURO.V,Auro Metals Inc.,TSXV,Gold,2020-11-25,ok,True,2020-11-25,2026-08-25,1442.0,8.0,False,1.0,0.0,0.0,131799.0,184561058.88,1.146,1.84,3.76,2.21,1.5,0.62,0.47,0.4,0.175,,,,1.26,0.6056,2.281,0.9284,0.3089,-0.459,-0.5899,-0.651,-0.8473,,,,0.0995
V-04904,ARL.V,Aurum Lake Mining Corporation,TSXV,Gold,2024-01-12,ok,True,2022-07-27,2026-08-24,1023.0,6.0,False,1.0,0.0,0.0,2500.0,1286037.5,0.232,0.25,0.22,0.15,0.14,0.14,0.07,,,,,,0.055,0.0776,-0.0517,-0.3534,-0.3966,-0.3966,-0.6983,,,,,,-0.7629
V-04307,AGLD.V,Austral Gold Limited,TSXV,Gold | Silver,2016-08-22,ok,True,2016-08-26,2026-08-25,2508.0,10.0,False,1.0,0.0,0.0256,1559.0,80172441.48,0.1664,0.1588,0.1588,0.1296,0.1547,0.1459,0.0663,0.0676,0.125,0.03,0.145,,0.165,-0.0457,-0.0457,-0.2212,-0.0703,-0.1232,-0.6016,-0.5938,-0.2488,-0.8197,-0.1286,,-0.0084
V-04792,AVR.V,Avaron Mining Corp.,TSXV,,2023-06-29,ok,True,2021-10-07,2026-08-24,1224.0,7.0,False,1.0,0.0,0.0,8000.0,752324.85,0.109,0.1,0.07,0.095,0.07,0.045,0.065,0.05,,,,,0.055,-0.0826,-0.3578,-0.1284,-0.3578,-0.5872,-0.4037,-0.5413,,,,,-0.4954
V-04228,AVG.V,Avidian Gold Corp.,TSXV,Gold | Copper,2017-12-04,no price near listing,False,2018-10-09,2026-08-24,1977.0,5.0,True,0.0667,1.0,0.0,,2561410.08,,,,,,6.0,1.275,3.0,0.525,0.1,,,0.135,,,,,,,,,,,,
V-02899,AVU.V,Avrupa Minerals Ltd.,TSXV,Copper | Zinc,2010-07-14,no price near listing,False,2012-01-16,2026-08-24,3666.0,6.0,True,0.25,1.0,0.0,,3042990.16,,,,,,,1.0,0.2,0.38,0.4,0.12,0.025,0.045,,,,,,,,,,,,
V-04294,ARIC.V,Awale Resources Limited,TSXV,Gold | Copper,2018-01-03,ok,True,2016-04-18,2026-08-25,2599.0,9.0,True,0.125,1.0,0.0,1400.0,85677790.32,2.256,2.8,2.72,1.28,1.0,0.72,1.04,0.88,0.12,0.41,,,0.91,0.2411,0.2057,-0.4326,-0.5567,-0.6809,-0.539,-0.6099,-0.9468,-0.8183,,,-0.5966
V-5066,AXO.V,Axo Metals Corp.,TSXV,Copper,2025-06-04,ok,True,2025-06-04,2026-08-25,308.0,5.0,False,1.0,0.0,0.0,278017.0,162261264.75,0.429,0.4,0.45,0.355,0.45,0.83,,,,,,,0.96,-0.0676,0.049,-0.1725,0.049,0.9347,,,,,,,1.2378
V-01990,AZR.V,Azarga Metals Corp.,TSXV,Copper,,no listing date,,2003-12-16,2026-08-25,5695.0,,,,,,,10005153.95,,,,,,,,,,,,,0.19,,,,,,,,,,,,
V-00186,AZM.V,Azimut Exploration Inc.,TSXV,Gold | Copper | Nickel | Lithium,,no listing date,,1996-08-06,2026-08-25,7554.0,,,,,,,59554192.9,,,,,,,,,,,,,0.66,,,,,,,,,,,,
V-04000,AAZ.V,Azincourt Energy Corp.,TSXV,Uranium,2012-05-01,no price near listing,False,2012-08-13,2026-08-25,3522.0,7.0,True,0.0315,5.0,0.0,,8345497.6,,,,,5.7052,4.7544,5.5468,1.65,1.725,0.825,0.84,,0.04,,,,,,,,,,,,
V-04340,AZT.V,Aztec Minerals Corp.,TSXV,Gold | Copper,2017-05-02,ok,True,2017-05-04,2026-08-25,2336.0,9.0,False,1.0,0.0,0.0,194100.0,40609528.52,0.372,0.36,0.4,0.315,0.255,0.23,0.14,0.11,0.245,0.195,,,0.335,-0.0323,0.0753,-0.1532,-0.3145,-0.3817,-0.6237,-0.7043,-0.3414,-0.4758,,,-0.0995
V-03143,BLDS.V,Badlands Resources Inc.,TSXV,Gold,2010-06-30,no price near listing,False,2010-08-05,2026-08-24,4028.0,10.0,True,0.0057,3.0,0.0,,1163032.92,,,40.3509,82.4561,105.2632,94.7368,33.3333,15.7895,7.0175,7.0175,10.8772,0.7018,0.29,,,,,,,,,,,,
V-03709,BYN.V,Banyan Gold Corp.,TSXV,Gold,2013-02-19,ok,True,2013-02-19,2026-08-25,3392.0,10.0,False,1.0,0.0,0.0,9000.0,611636844.24,0.085,0.07,0.06,0.04,0.04,0.05,0.05,0.05,0.09,0.06,0.4,,1.99,-0.1765,-0.2941,-0.5294,-0.5294,-0.4118,-0.4118,-0.4118,0.0588,-0.2941,3.7059,,22.4118
V-00961,BRO.V,Barksdale Resources Corp.,TSXV,Copper,,no listing date,,2018-07-10,2026-08-25,2040.0,,,,,,,87912828.9,,,,,,,,,,,,,0.165,,,,,,,,,,,,
V-00608,BARU.V,Baru Gold Corp.,TSXV,Gold,,no listing date,,2001-04-23,2026-08-25,6364.0,,,,,,,15262781.36,,,,,,,,,,,,,0.06,,,,,,,,,,,,
V-02954,BAT.V,Batero Gold Corp.,TSXV,Gold,2010-07-27,ok,True,2010-08-03,2026-08-25,4031.0,11.0,False,1.0,0.0,0.0,118860.0,12670062.13,0.932,0.86,1.2,2.02,2.49,2.97,0.42,0.19,0.07,0.09,0.11,0.07,0.105,-0.0773,0.2876,1.1674,1.6717,2.1867,-0.5494,-0.7961,-0.9249,-0.9034,-0.882,-0.9249,-0.8873
V-02457,BMV.V,Bathurst Metals Corp.,TSXV,,2007-02-20,ok,True,2007-02-21,2026-08-25,4896.0,11.0,True,0.1333,2.0,0.0,3479.0,3736777.05,2.31,2.25,1.9125,2.325,3.0,1.9125,0.225,0.45,0.525,0.15,0.0375,0.25,0.07,-0.026,-0.1721,0.0065,0.2987,-0.1721,-0.9026,-0.8052,-0.7727,-0.9351,-0.9838,-0.8918,-0.9697
V-04488,BMR.V,Battery Mineral Resources Corp.,TSXV,Copper | Lithium,2021-02-23,ok,True,2021-02-24,2026-08-25,1381.0,8.0,False,1.0,0.0,0.0,15611.0,71047819.33,0.708,0.65,0.68,0.63,0.63,0.345,0.165,0.125,0.17,,,,0.185,-0.0819,-0.0395,-0.1102,-0.1102,-0.5127,-0.7669,-0.8234,-0.7599,,,,-0.7387
V-02350,BHS.V,Bayhorse Silver Inc.,TSXV,Gold | Silver | Copper,2006-08-30,ok,True,2006-08-30,2026-08-25,5016.0,11.0,True,0.1,1.0,0.0,8700.0,18794470.5,2.22,2.2,2.0,1.8,1.6,2.0,1.3,1.0,0.7,0.07,0.19,0.14,0.07,-0.009,-0.0991,-0.1892,-0.2793,-0.0991,-0.4144,-0.5495,-0.6847,-0.9685,-0.9144,-0.9369,-0.9685
V-00438,BM.V,BC Moly Ltd.,TSXV,Molybdenum,,no listing date,,1996-07-31,2026-08-24,7551.0,,,,,,,4329758.375,,,,,,,,,,,,,0.14,,,,,,,,,,,,
V-02360,B.V,BCM Resources Corporation,TSXV,Gold | Silver | Copper | Molybdenum,2006-09-27,ok,True,2006-09-28,2026-08-25,4996.0,11.0,False,1.0,0.0,0.0,6000.0,65054085.475,0.46,0.46,0.77,1.1,1.52,0.4,0.13,0.07,0.32,0.04,0.11,0.13,0.68,0.0,0.6739,1.3913,2.3043,-0.1304,-0.7174,-0.8478,-0.3043,-0.913,-0.7609,-0.7174,0.4783
V-04540,BGF.V,Beauce Gold Fields Inc.,TSXV,Gold,2019-02-04,ok,True,2019-02-04,2026-08-25,1897.0,9.0,False,1.0,0.0,0.0,279194.0,6934209.65,0.17,0.155,0.14,0.12,0.135,0.14,0.14,0.1,0.03,0.05,,,0.03,-0.0882,-0.1765,-0.2941,-0.2059,-0.1765,-0.1765,-0.4118,-0.8235,-0.7059,,,-0.8235
V-02516,BFM.V,Bedford Metals Corp.,TSXV,Gold | Uranium,2009-12-31,ok,True,2010-01-04,2026-08-25,4177.0,11.0,True,0.0061,5.0,0.0,0.0,12676209.075,36.0,36.0,36.0,26.1818,22.9091,34.3636,37.6364,9.8182,1.0909,0.6818,0.5455,0.49,0.13,0.0,0.0,-0.2727,-0.3636,-0.0455,0.0455,-0.7273,-0.9697,-0.9811,-0.9848,-0.9864,-0.9964
V-00220,BCU.V,Bell Copper Corporation,TSXV,Copper,2008-05-12,ok,True,1999-11-22,2026-08-25,6717.0,11.0,True,0.2,1.0,0.0,13484.0,11580829.12,3.29,3.4,2.2,2.0,0.4,0.55,1.55,1.25,0.05,0.03,0.08,0.14,0.075,0.0334,-0.3313,-0.3921,-0.8784,-0.8328,-0.5289,-0.6201,-0.9848,-0.9909,-0.9757,-0.9574,-0.9772
V-00222,BEA.V,Belmont Resources Inc.,TSXV,Gold | Copper | Rare Earths | Uranium,,no listing date,,1996-08-08,2026-08-24,7548.0,,,,,,,4636914.52,,,,,,,,,,,,,0.03,,,,,,,,,,,,
V-03102,BMET.V,BeMetals Corp.,TSXV,Gold | Copper,2018-07-25,no price near listing,False,2026-07-17,2026-08-24,26.0,0.0,False,1.0,0.0,0.0,,14721180.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,
