co_id,ticker_full,ticker,name,name_normalised,board,isin,cusip,sedar_issuer_no,former_names,commodities,commodity_count,is_polymetallic,company_type,is_royalty_streamer,no_disclosed_commodity,property_regions,property_jurisdictions,property_region_count,jurisdiction_count,hq_matches_property,no_disclosed_property,shell_like,stage,incorporation_jurisdiction,mcap,shares,px,size_band,value_ytd,vol_ytd,trades_ytd,months,turnover,turnover_pctile,turnover_pctile_in_band,attention_ratio,avg_trade,dormant,hq_location,hq_region,listing_type,listing_date_iso,days_listed,lyear,yrs,exchange,sector,listing_date,interlisted_2,tsxv_grad,po_id,interlisted,otc_tier,cpc_flag,index_member,annual_list,comm_oil_and_gas,comm_gold,comm_silver,comm_copper,comm_nickel,comm_diamond,comm_molybdenum,comm_platinum_pgm,comm_iron,comm_lead,comm_zinc,comm_rare_earths,comm_potash,comm_lithium,comm_uranium,comm_coal,comm_tungsten,comm_base_precious_metals,comm_royalty_streaming,comm_other_properties,prop_africa,prop_asia,prop_aus_nz_png,prop_canada,prop_latin_america,prop_other,prop_uk_europe,prop_usa,enrich_source,data_asof,properties_asof
V-04572,APM.TO,APM,Andean Precious Metals Corp.,andean precious metals,TSX,,,,,Gold | Silver,2,True,Operator,False,False,LATIN AMERICA | USA,Bolivia | CA,2,2,False,False,False,,,878967938.58,151025419,5.82,500M-2B,563947656.5,68403346.0,264512.0,6.0,0.6416020786959248,93.86213408876299,92.40506329113924,1.630412683773134,2132.0305184641907,False,ON,Canada,TSXV Grad,2025-01-09,537.0,2025.0,1.0,TSX,Mining,20250109.0,,Y,,,OTCQX,Y,,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,2026-06-30,2026-07-31
GRA0022,ARIS.TO,ARIS,Aris Mining Corporation,aris mining,TSX,,,,,Gold | Silver,2,True,Operator,False,False,CANADA | LATIN AMERICA,ON | Colombia | Guyana,2,3,True,False,False,,,4365734206.95,206417693,21.15,>2B,3073774196.5,121456804.0,548377.0,6.0,0.7040681019029347,95.46742209631728,84.05797101449275,1.7891487601097,5605.220854448673,False,BC,Canada,TSXV Grad,2010-12-22,5669.0,2010.0,16.0,TSX,Mining,20101222.0,,Y,,NYSE Mkt,,,Composite,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,,2026-06-30,2026-07-31
V-04422,AMC.TO,AMC,Arizona Metals Corp.,arizona metals,TSX,,,,,Gold | Copper | Zinc,3,True,Operator,False,False,USA,AZ,1,1,False,False,False,,,21865653.28,136660333,0.16,5-25M,21452511.5,47397144.0,13538.0,6.0,0.9811054453891898,98.67799811142586,98.3221476510067,2.4931446069075602,1584.6145294725957,False,ON,Canada,TSXV Grad,2022-10-13,1356.0,2022.0,4.0,TSX,Mining,20221013.0,,Y,,,OTCQX,Y,,,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,2026-06-30,2026-07-31
V-00604,ATX.TO,ATX,ATEX Resources Inc.,atex resources,TSX,,,,,Gold | Copper,2,True,Operator,False,False,LATIN AMERICA,Chile,1,1,False,False,False,,,914095960.48,374629492,2.44,500M-2B,91019639.5,31162929.0,59735.0,3.0,0.0995733964869561,34.08876298394712,20.253164556962027,0.2530317995987123,1523.723771658157,True,ON,Canada,TSXV Grad,2026-04-27,64.0,2026.0,0.0,TSX,Mining,20260427.0,,Y,,,,,,,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,2026-06-30,2026-07-31
AVA0002,AVL.TO,AVL,Avalon Advanced Materials Inc.,avalon advanced materials,TSX,,,,,Lithium,1,False,Operator,False,False,CANADA,NS | ON,1,2,True,False,False,,,41781439.8,835628796,0.0499999999999999,25-100M,8643420.5,123764265.0,10675.0,6.0,0.2068722509653676,61.28423040604344,69.56521739130434,0.525695213737743,809.6881030444965,False,ON,Canada,TSXV Grad,2008-02-28,6697.0,2008.0,18.0,TSX,Mining,20080228.0,,Y,,,OTCQB,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,,2026-06-30,2026-07-31
AVI0002,ASM.TO,ASM,Avino Silver & Gold Mines Ltd.,avino silver gold mines,TSX,,,,,Gold | Silver | Copper,3,True,Operator,False,False,LATIN AMERICA,Mexico,1,1,False,False,False,,,1531213416.27,170324073,8.99,500M-2B,1311816648.5,128503396.0,462767.0,6.0,0.8567170549586449,98.11142587346554,100.0,2.1770539703493195,2834.7238426681247,False,BC,Canada,TSXV Grad,2018-01-08,3095.0,2018.0,8.0,TSX,Mining,20180108.0,,Y,,NYSE Mkt,,,Composite,Y,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,2026-06-30,2026-07-31
MAY0003,AYA.TO,AYA,Aya Gold & Silver Inc.,aya gold silver,TSX,,,,,Silver,1,False,Operator,False,False,AFRICA,Morocco,1,1,False,False,False,,,3850374258.14,143349749,26.86,>2B,4942022760.0,204213601.0,924508.0,6.0,1.28351750470806,99.43342776203966,98.55072463768117,3.2616216327949936,5345.570573753824,False,QC,Canada,TSXV Grad,2018-07-31,2891.0,2018.0,8.0,TSX,Mining,20180731.0,,Y,,NasdaqGS,,,Composite,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,2026-06-30,2026-07-31
BTW0001,BTO.TO,BTO,B2Gold Corp.,b2gold,TSX,,,,,Gold,1,False,Operator,False,False,AFRICA | ASIA | CANADA | LATIN AMERICA,Mali | Namibia | Philippines | NU | Colombia,4,5,True,False,False,,,7058009249.76,1326693468,5.32,>2B,5517316801.5,828294181.0,941192.0,6.0,0.781710055379654,97.16713881019831,91.30434782608695,1.9864492831981877,5862.0523777295175,False,BC,Canada,TSXV Grad,2008-10-23,6459.0,2008.0,18.0,TSX,Mining,20081023.0,,Y,,NYSE Mkt,,,Composite,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,,2026-06-30,2026-07-31
BAR0007,ABX.TO,ABX,Barrick Mining Corporation,barrick mining,TSX,,,,,Gold | Copper,2,True,Operator,False,False,AFRICA | AUS/NZ/PNG | CANADA | LATIN AMERICA | OTHER | USA,Cote D'Ivoire | DRC | Mali | Tanzania | Zambia | Papua New Guinea | ON | Argentina | Dominican Republic | Saudi Arabia | NV,6,11,True,False,False,,,86745601490.1,1663386414,52.150000000000006,>2B,45203085078.0,747793459.0,1695213.0,6.0,0.5210994482891318,89.8961284230406,65.21739130434783,1.3241963799815526,26665.135931590896,False,ON,Canada,,1983-05-02,15765.0,1983.0,43.0,TSX,Mining,19830502.0,Lima (BVL),,,NYSE,,,60,,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,,2026-06-30,2026-07-31
BEL0018,BSX.TO,BSX,Belo Sun Mining Corp.,belo sun mining,TSX,,,,,Gold,1,False,Operator,False,False,LATIN AMERICA,Brazil,1,1,False,False,False,,,590823251.2,568099280,1.04,500M-2B,124884679.5,113860195.0,76638.0,6.0,0.2113740094797406,62.417374881964115,43.037974683544306,0.5371348964084033,1629.5399084005323,False,ON,Canada,TSXV Grad,2012-02-16,5248.0,2012.0,14.0,TSX,Mining,20120216.0,,Y,,,OTCQB,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,2026-06-30,2026-07-31
BLA0018,BKI.TO,BKI,Black Iron Inc.,black iron,TSX,,,,,Iron,1,False,Operator,False,False,UK/EUROPE,Ukraine,1,1,False,False,False,,,36555248.18,332320438,0.11,25-100M,2669955.0,23217522.0,2868.0,6.0,0.0730388968186728,25.495750708215297,25.217391304347824,0.185603425761965,930.9466527196652,False,ON,Canada,IPO,2011-03-28,5573.0,2011.0,15.0,TSX,Mining,20110328.0,,,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,2026-06-30,2026-07-31
X-1428,BGAU.TO,BGAU,Blossom Gold Inc.,blossom gold,TSX,,,,,Gold | Silver,2,True,Operator,False,False,USA,NV,1,1,False,False,False,,,254024455.77,131618889,1.93,100-500M,17807414.5,8929412.0,10953.0,5.0,0.0701011815812067,24.268177525967893,16.39344262295082,0.1781382252217586,1625.8024742079797,True,ON,Canada,Other,2026-02-02,148.0,2026.0,0.0,TSX,Mining,20260202.0,,,,,,,,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,2026-06-30,2026-07-31
V-04982,BNKR.TO,BNKR,Bunker Hill Mining Corp.,bunker hill mining,TSX,,,,,Silver | Lead | Zinc,3,True,Operator,False,False,USA,ID,1,1,False,False,False,,,215726122.5,45899175,4.7,100-500M,16063282.0,2780292.0,11902.0,4.0,0.0744614598076781,25.87346553352219,17.48633879781421,0.18921838403244715,1349.628801882037,True,BC,Canada,TSXV Grad,2026-03-25,97.0,2026.0,0.0,TSX,Mining,20260325.0,,Y,,,,,,,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,2026-06-30,2026-07-31
CAM0009,CCO.TO,CCO,Cameco Corporation,cameco,TSX,,,,,Uranium,1,False,Operator,False,False,ASIA | CANADA,Kazakhstan | SK,2,2,True,False,False,,,62960647299.68,435532978,144.56,>2B,19663563834.5,126065774.0,732001.0,6.0,0.3123151472840709,74.5042492917847,33.33333333333333,0.7936423437115308,26862.755425880565,False,SK,Canada,,1991-07-04,12780.0,1991.0,35.0,TSX,Mining,19910704.0,,,,NYSE,,,60,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,,2026-06-30,2026-07-31
CAN0049,CCM.TO,CCM,Canagold Resources Ltd.,canagold resources,TSX,,,,,Gold,1,False,Operator,False,False,CANADA,BC,1,1,True,False,False,,,117672371.3,213949766,0.5499999999999999,100-500M,4227409.5,7435498.0,4588.0,6.0,0.0359252512148533,9.820585457979226,5.46448087431694,0.09129176352963884,921.4057323452485,False,BC,Canada,,1994-11-03,11562.0,1994.0,32.0,TSX,Mining,19941103.0,,,,,OTCQB,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,,2026-06-30,2026-07-31
CAP0012,CS.TO,CS,Capstone Copper Corp.,capstone copper,TSX,,,,,Copper,1,False,Operator,False,False,LATIN AMERICA | USA,Chile | Mexico | AZ,2,3,False,False,False,,,9952201968.06,763791402,13.03,>2B,8084728848.0,610682115.0,1932619.0,6.0,0.8123557855785729,97.82813975448536,94.20289855072464,2.0643249461345707,4183.301958637476,False,BC,Canada,TSXV Grad,2004-07-28,8007.0,2004.0,22.0,TSX,Mining,20040728.0,,Y,,ASX,,,Composite,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,2026-06-30,2026-07-31
CEN0015,CG.TO,CG,Centerra Gold Inc.,centerra gold,TSX,,,,,Gold | Copper,2,True,Operator,False,False,CANADA | UK/EUROPE | USA,BC | Turkiye | NV,3,3,True,False,False,,,4451938658.31,197951919,22.49,>2B,2914567579.5,119573241.0,613781.0,6.0,0.6546737956642014,94.3342776203966,81.15942028985508,1.6636299906545091,4748.546435129142,False,ON,Canada,IPO,2004-06-29,8036.0,2004.0,22.0,TSX,Mining,20040629.0,,,,NYSE,,,Composite,,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,,2026-06-30,2026-07-31
CEN0021,CNT.TO,CNT,Century Global Commodities Corporation,century global commodities,TSX,,,,,Iron,1,False,Operator,False,False,CANADA,QC,1,1,False,False,False,,,4137191.975,118205485,0.035,<5M,58026.0,1459118.0,185.0,6.0,0.0140254550310056,3.3050047214353167,7.5,0.035640906626611575,313.65405405405403,False,Hong Kong,Asia,TSXV Grad,2011-09-19,5398.0,2011.0,15.0,TSX,Mining,20110919.0,,Y,,,,Y,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,2026-06-30,2026-07-31
CHA0029,CIA.TO,CIA,Champion Iron Limited,champion iron,TSX,,,,,Iron,1,False,Operator,False,False,CANADA,NL | QC,1,2,False,False,False,,,2189783465.02,560046922,3.91,>2B,222393760.5,44886091.0,170090.0,6.0,0.1015597039856033,35.03305004721435,13.043478260869565,0.25807932211648604,1307.5063819154566,False,Australia,Australia/NZ/PNG,Other,2014-03-31,4474.0,2014.0,12.0,TSX,Mining,20140331.0,,,,ASX,OTCQX,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,2026-06-30,2026-07-31
