ticker_full,co_id,name,board,mcap,isin,cusip,sedar_issuer_no,former_names,stage,incorporation_jurisdiction
ALK.TO,X-1188,Alkane Resources Limited,TSX,1885362652.98,,,,,,
MSA.TO,MIN0036,Mineros S.A.,TSX,1872290672.61,,,,,,
LIF.TO,LAB0003,Labrador Iron Ore Royalty Corporation,TSX,1785600000.0,,,,,,
IAU.TO,I800001,i-80 Gold Corp.,TSX,1783213938.04,,,,,,
FDY.TO,FAR0008,Faraday Copper Corp.,TSX,1751766964.25,,,,,,
VZLA.TO,V-04494,Vizsla Silver Corp.,TSX,1635744485.8,,,,,,
CNL.TO,V-04532,Collective Mining Ltd.,TSX,1618339297.15,,,,,,
ELE.TO,V-02730,Elemental Royalty Corporation,TSX,1602245843.88,,,,,,
HMMC.TO,V-02897,Hemlo Mining Corp.,TSX,1561869731.36,,,,,,
MUX.TO,USG0001,McEwen Inc.,TSX,1547518085.2,,,,,,
ASM.TO,AVI0002,Avino Silver & Gold Mines Ltd.,TSX,1531213416.27,,,,,,
NDM.TO,NOR0075,Northern Dynasty Minerals Ltd.,TSX,1523061089.02,,,,,,
ORE.TO,V-04278,Orezone Gold Corporation,TSX,1507505631.4,,,,,,
OMG.V,V-00422,OMAI Gold Mines Corp.,TSXV,1492660692.38,,,,,,
RIO.TO,V-01608,Rio2 Limited,TSX,1458930686.78,,,,,,
FFM.TO,X-1028,FireFly Metals Ltd.,TSX,1391502602.08,,,,,,
GGD.TO,GOG0001,GoGold Resources Inc.,TSX,1378374055.98,,,,,,
OM.TO,V-01531,Osisko Metals Incorporated,TSX,1357798331.66,,,,,,
HSLV.TO,X-1129,Highlander Silver Corp.,TSX,1354799963.88,,,,,,
LMCU.TO,X-1509,Lumina Metals Corp.,TSX,1115277403.02,,,,,,
III.TO,IMP0004,Imperial Metals Corporation,TSX,1102879517.54,,,,,,
TALA.V,V-04782,Talamore Mining Corp.,TSXV,1100658335.4,,,,,,
PMET.TO,V-04908,PMET Resources Inc.,TSX,1080327673.81,,,,,,
NUAG.TO,V-01366,New Pacific Metals Corp.,TSX,1061105402.97,,,,,,
ODV.V,V-02643,Osisko Development Corp.,TSXV,1055053276.8,,,,,,
ARA.TO,ACL0001,Aclara Resources Inc.,TSX,1015898463.64,,,,,,
MARI.TO,COR0032,Marimaca Copper Corp.,TSX,1013701752.6,,,,,,
MTA.V,V-04409,Metalla Royalty & Streaming Ltd.,TSXV,1008247401.98,,,,,,
ARG.TO,AME0021,Amerigo Resources Ltd.,TSX,992863161.72,,,,,,
GRZ.V,V-03959,Gold Reserve Inc.,TSXV,961148714.5,,,,,,
SLI.V,V-01512,Standard Lithium Ltd.,TSXV,952311941.36,,,,,,
NCX.V,V-03877,NorthIsle Copper and Gold Inc.,TSXV,943415007.72,,,,,,
TLG.TO,TRO0007,Troilus Mining Corp.,TSX,924332733.85,,,,,,
ATX.TO,V-00604,ATEX Resources Inc.,TSX,914095960.48,,,,,,
MKO.V,V-02395,Mako Mining Corp.,TSXV,913507868.21,,,,,,
TLO.TO,BRA0017,Talon Metals Corp.,TSX,912274641.72,,,,,,
MOON.V,V-02541,Blue Moon Metals Inc.,TSXV,898767009.0,,,,,,
APM.TO,V-04572,Andean Precious Metals Corp.,TSX,878967938.58,,,,,,
FF.TO,FIR0127,First Mining Gold Corp.,TSX,858609494.88,,,,,,
ISO.TO,V-04315,IsoEnergy Ltd.,TSX,857634225.98,,,,,,
GSKR.V,V-04263,Goldsky Resources Corp.,TSXV,857144470.0,,,,,,
TMQ.TO,NOV0021,Trilogy Metals Inc.,TSX,855826369.44,,,,,,
SCZ.V,V-03875,Santacruz Silver Mining Ltd.,TSXV,850914430.8,,,,,,
NFG.V,V-04656,New Found Gold Corp.,TSXV,841231119.81,,,,,,
TAU.V,V-04078,Thesis Gold & Silver Inc.,TSXV,812820274.62,,,,,,
BZ.V,V-04048,Benz Mining Corp.,TSXV,798350257.6,,,,,,
LGD.TO,PIL0001,Liberty Gold Corp.,TSX,797230348.64,,,,,,
FWZ.V,V-04341,Fireweed Metals Corp.,TSXV,790145480.52,,,,,,
MNO.TO,V-01810,Meridian Mining PLC,TSX,776821622.4,,,,,,
URE.TO,URE0001,Ur-Energy Inc.,TSX,762877157.76,,,,,,
ITH.TO,INT0123,International Tower Hill Mines Ltd.,TSX,750899547.51,,,,,,
RML.V,V-01378,Rusoro Mining Ltd.,TSXV,723927842.22,,,,,,
ASE.V,V-03940,Asante Gold Corporation,TSXV,723349874.4,,,,,,
WRN.TO,WES0062,Western Copper and Gold Corporation,TSX,717928413.36,,,,,,
THX.V,V-01964,Thor Explorations Ltd.,TSXV,703234658.48,,,,,,
GAU.TO,KEE0001,Galiano Gold Inc.,TSX,692492959.7,,,,,,
NOU.TO,V-04015,Nouveau Monde Graphite Inc.,TSX,691140093.0,,,,,,
CTGO.TO,X-1494,Contango Silver & Gold Inc.,TSX,688846156.14,,,,,,
AMX.V,V-00103,Amex Exploration Inc.,TSXV,674609560.8,,,,,,
AUXX.V,V-03701,Gold X2 Mining Inc.,TSXV,651337713.04,,,,,,
ETG.TO,ENT0005,Entree Resources Ltd.,TSX,642401433.52,,,,,,
ECOR.TO,ANG0008,Ecora Royalties PLC,TSX,638978629.12,,,,,,
ITR.V,V-04384,Integra Resources Corp.,TSXV,638734732.65,,,,,,
BYN.V,V-03709,Banyan Gold Corp.,TSXV,611636844.24,,,,,,
QTWO.V,V-03655,Q2 Metals Corp.,TSXV,611456539.7,,,,,,
BSX.TO,BEL0018,Belo Sun Mining Corp.,TSX,590823251.2,,,,,,
URC.TO,V-04623,Uranium Royalty Corp.,TSX,577574477.58,,,,,,
UCU.V,V-02264,Ucore Rare Metals Inc.,TSXV,569331912.66,,,,,,
DBG.V,V-03670,Doubleview Gold Corp.,TSXV,565420294.3,,,,,,
FVL.TO,INT0028,Freegold Ventures Limited,TSX,554593699.2,,,,,,
MAI.V,V-02340,Mining Americas Inc.,TSXV,553044968.94,,,,,,
NICU.TO,V-03887,Magna Mining Inc.,TSX,524306869.79,,,,,,
TTS.V,V-01974,Tintina Mines Ltd.,TSXV,523754878.5,,,,,,
REG.V,V-03699,Regulus Resources Inc.,TSXV,519754925.52,,,,,,
